1829980	星光咖啡馆与死神之蝶
1874000	Life is Strange: Double Exposure
1875830	真·女神转生Ⅴ Vengeance
1887840	蟹蟹寻宝奇遇
1888930	The Last of Us™ Part I
1971650	歧路旅人 II
2050650	Resident Evil 4
2072450	人中之龙８
2114740	神之亵渎2
2149010	小小梦魇 强化版
2175540	勇者斗恶龙 怪物仙境3 魔族王子与精灵的旅程
2208920	刺客信条：英灵殿
2356560	Monster Hunter Stories
2375550	人中之龙7外传 无名之龙
2407270	AI LIMIT 无限机兵
2458530	魔女的夜宴
2478970	Tomb Raider I-III Remastered Starring Lara Croft
2525380	Tomb Raider IV-VI Remastered
2543510	枪途末路
2752710	WHAT THE PAK?!
2921380	Caribbean Crashers
3061810	人中之龙８外传 Pirates in Hawaii
3444020	我在地府打麻将
3837340	FINAL FANTASY VII
960990	超凡双生
